From;To;Length in meter
a0;a1;45236
a0;a5000;38168
a1;a2;7977
a1;a5001;44603
a2;a3;34385
a2;a5002;22438
a3;a4;16814
a3;a5003;39123
a4;a5;51690
a4;a5004;14896
a5;a6;32420
a5;a5005;8457
a6;a7;26258
a6;a5006;47483
a7;a8;35955
a7;a5007;13399
a8;a9;22251
a8;a5008;14762
a9;a10;30169
a9;a5009;14986
a10;a11;48869
a10;a5010;51176
a11;a12;7779
a11;a5011;44328
a12;a13;38312
a12;a5012;41931
a13;a14;41042
a13;a5013;31413
a14;a15;49120
a14;a5014;3240
a15;a16;14563
a15;a5015;31776
a16;a17;10130
a16;a5016;18167
a17;a18;44553
a17;a5017;34936
a18;a19;17231
a18;a5018;16260
a19;a20;12943
a19;a5019;10023
a20;a21;31064
a20;a5020;38753
a21;a22;44026
a21;a5021;42105
a22;a23;48889
a22;a5022;36241
a23;a24;14635
a23;a5023;37394
a24;a25;37922
a24;a5024;2416
a25;a26;16249
a25;a5025;26724
a26;a27;20644
a26;a5026;5702
a27;a28;28888
a27;a5027;24488
a28;a29;44805
a28;a5028;40454
a29;a30;22160
a29;a5029;4552
a30;a31;2161
a30;a5030;30748
a31;a32;18412
a31;a5031;35579
a32;a33;30314
a32;a5032;32743
a33;a34;36582
a33;a5033;25670
a34;a35;41485
a34;a5034;46076
a35;a36;33043
a35;a5035;10262
a36;a37;20515
a36;a5036;10847
a37;a38;17512
a37;a5037;27803
a38;a39;21928
a38;a5038;34349
a39;a40;47910
a39;a5039;14913
a40;a41;22543
a40;a5040;10900
a41;a42;47973
a41;a5041;16426
a42;a43;51732
a42;a5042;18893
a43;a44;45344
a43;a5043;46022
a44;a45;26228
a44;a5044;51474
a45;a46;45926
a45;a5045;49979
a46;a47;10126
a46;a5046;11157
a47;a48;42308
a47;a5047;19995
a48;a49;3620
a48;a5048;24114
a49;a50;50278
a49;a5049;21009
a50;a51;35921
a50;a5050;6875
a51;a52;27589
a51;a5051;46463
a52;a53;48804
a52;a5052;46749
a53;a54;3452
a53;a5053;36556
a54;a55;7262
a54;a5054;37395
a55;a56;35520
a55;a5055;44701
a56;a57;12880
a56;a5056;42665
a57;a58;13570
a57;a5057;13605
a58;a59;23685
a58;a5058;45097
a59;a60;45486
a59;a5059;25194
a60;a61;51502
a60;a5060;20236
a61;a62;41725
a61;a5061;17924
a62;a63;14104
a62;a5062;14360
a63;a64;8971
a63;a5063;20955
a64;a65;14845
a64;a5064;41110
a65;a66;22366
a65;a5065;37116
a66;a67;6855
a66;a5066;2022
a67;a68;18402
a67;a5067;15635
a68;a69;22390
a68;a5068;27053
a69;a70;37297
a69;a5069;41189
a70;a71;10448
a70;a5070;23771
a71;a72;44561
a71;a5071;28011
a72;a73;27415
a72;a5072;18127
a73;a74;26301
a73;a5073;46479
a74;a75;16134
a74;a5074;15418
a75;a76;31798
a75;a5075;24926
a76;a77;38562
a76;a5076;7420
a77;a78;29898
a77;a5077;11241
a78;a79;45949
a78;a5078;50501
a79;a80;2833
a79;a5079;47235
a80;a81;28374
a80;a5080;40003
a81;a82;22242
a81;a5081;3728
a82;a83;32341
a82;a5082;8151
a83;a84;37371
a83;a5083;45844
a84;a85;21183
a84;a5084;26328
a85;a86;4662
a85;a5085;46079
a86;a87;28029
a86;a5086;47688
a87;a88;51328
a87;a5087;37402
a88;a89;15220
a88;a5088;32746
a89;a90;42860
a89;a5089;49831
a90;a91;7226
a90;a5090;8867
a91;a92;15880
a91;a5091;51724
a92;a93;6354
a92;a5092;24351
a93;a94;43278
a93;a5093;21390
a94;a95;31847
a94;a5094;19237
a95;a96;18140
a95;a5095;5501
a96;a97;43311
a96;a5096;47837
a97;a98;26629
a97;a5097;28266
a98;a99;18854
a98;a5098;2555
a99;a100;27676
a99;a5099;49391
a100;a101;6793
a100;a5100;4579
a101;a102;19106
a101;a5101;29393
a102;a103;7348
a102;a5102;44693
a103;a104;45665
a103;a5103;48038
a104;a105;17337
a104;a5104;26608
a105;a106;44287
a105;a5105;35372
a106;a107;36563
a106;a5106;35994
a107;a108;25919
a107;a5107;15102
a108;a109;39341
a108;a5108;30699
