TATORT;BEF;lon;lat
a0;53439;15,774151;61,099355
a1;18160;15,774151;61,099355
a2;15263;15,774151;61,099355
a3;18688;15,774151;61,099355
a4;49792;15,774151;61,099355
a5;38427;15,774151;61,099355
a6;11480;15,774151;61,099355
a7;6964;15,774151;61,099355
a8;53387;15,774151;61,099355
a9;25837;15,774151;61,099355
a10;45655;15,774151;61,099355
a11;9886;15,774151;61,099355
a12;36778;15,774151;61,099355
a13;20063;15,774151;61,099355
a14;54383;15,774151;61,099355
a15;29869;15,774151;61,099355
a16;17615;15,774151;61,099355
a17;47939;15,774151;61,099355
a18;9327;15,774151;61,099355
a19;49508;15,774151;61,099355
a20;54904;15,774151;61,099355
a21;26406;15,774151;61,099355
a22;35931;15,774151;61,099355
a23;45525;15,774151;61,099355
a24;42097;15,774151;61,099355
a25;37840;15,774151;61,099355
a26;7863;15,774151;61,099355
a27;47226;15,774151;61,099355
a28;41714;15,774151;61,099355
a29;30506;15,774151;61,099355
a30;23404;15,774151;61,099355
a31;17233;15,774151;61,099355
a32;7796;15,774151;61,099355
a33;41095;15,774151;61,099355
a34;34941;15,774151;61,099355
a35;21016;15,774151;61,099355
a36;33167;15,774151;61,099355
a37;32056;15,774151;61,099355
a38;31632;15,774151;61,099355
a39;16991;15,774151;61,099355
a40;38217;15,774151;61,099355
a41;33720;15,774151;61,099355
a42;18355;15,774151;61,099355
a43;40845;15,774151;61,099355
a44;36719;15,774151;61,099355
a45;30123;15,774151;61,099355
a46;41126;15,774151;61,099355
a47;26101;15,774151;61,099355
a48;22054;15,774151;61,099355
a49;27852;15,774151;61,099355
a50;30307;15,774151;61,099355
a51;47969;15,774151;61,099355
a52;14133;15,774151;61,099355
a53;49264;15,774151;61,099355
a54;18152;15,774151;61,099355
a55;48992;15,774151;61,099355
a56;43313;15,774151;61,099355
a57;44951;15,774151;61,099355
a58;36464;15,774151;61,099355
a59;53167;15,774151;61,099355
a60;22630;15,774151;61,099355
a61;25501;15,774151;61,099355
a62;13528;15,774151;61,099355
a63;49815;15,774151;61,099355
a64;23790;15,774151;61,099355
a65;19262;15,774151;61,099355
a66;16803;15,774151;61,099355
a67;29728;15,774151;61,099355
a68;25542;15,774151;61,099355
a69;21068;15,774151;61,099355
a70;29390;15,774151;61,099355
a71;33905;15,774151;61,099355
a72;45286;15,774151;61,099355
a73;6723;15,774151;61,099355
a74;53738;15,774151;61,099355
a75;29513;15,774151;61,099355
a76;46063;15,774151;61,099355
a77;49396;15,774151;61,099355
a78;5688;15,774151;61,099355
a79;8649;15,774151;61,099355
a80;31447;15,774151;61,099355
a81;37015;15,774151;61,099355
a82;45550;15,774151;61,099355
a83;12910;15,774151;61,099355
a84;50271;15,774151;61,099355
a85;54281;15,774151;61,099355
a86;40666;15,774151;61,099355
a87;20856;15,774151;61,099355
a88;31613;15,774151;61,099355
a89;8948;15,774151;61,099355
a90;15612;15,774151;61,099355
a91;46004;15,774151;61,099355
a92;8019;15,774151;61,099355
a93;49669;15,774151;61,099355
a94;22095;15,774151;61,099355
a95;30185;15,774151;61,099355
a96;11542;15,774151;61,099355
a97;41886;15,774151;61,099355
a98;50434;15,774151;61,099355
a99;30787;15,774151;61,099355
a100;42852;15,774151;61,099355
a101;39006;15,774151;61,099355
a102;8502;15,774151;61,099355
a103;40713;15,774151;61,099355
a104;18420;15,774151;61,099355
a105;8393;15,774151;61,099355
a106;12021;15,774151;61,099355
a107;46718;15,774151;61,099355
a108;44566;15,774151;61,099355
a109;45616;15,774151;61,099355
a110;12160;15,774151;61,099355
a111;25194;15,774151;61,099355
a112;50014;15,774151;61,099355
a113;35811;15,774151;61,099355
a114;32563;15,774151;61,099355
a115;44458;15,774151;61,099355
a116;30557;15,774151;61,099355
a117;48020;15,774151;61,099355
a118;48103;15,774151;61,099355
a119;39103;15,774151;61,099355
a120;20366;15,774151;61,099355
a121;26948;15,774151;61,099355
a122;11959;15,774151;61,099355
a123;45109;15,774151;61,099355
a124;54581;15,774151;61,099355
a125;26675;15,774151;61,099355
a126;25912;15,774151;61,099355
a127;34020;15,774151;61,099355
a128;26901;15,774151;61,099355
a129;12593;15,774151;61,099355
a130;51179;15,774151;61,099355
a131;10762;15,774151;61,099355
a132;24061;15,774151;61,099355
a133;41051;15,774151;61,099355
a134;23533;15,774151;61,099355
a135;42424;15,774151;61,099355
a136;36347;15,774151;61,099355
a137;11027;15,774151;61,099355
a138;16985;15,774151;61,099355
a139;14685;15,774151;61,099355
a140;49575;15,774151;61,099355
a141;18513;15,774151;61,099355
a142;44897;15,774151;61,099355
a143;18480;15,774151;61,099355
a144;19327;15,774151;61,099355
a145;32250;15,774151;61,099355
a146;46006;15,774151;61,099355
a147;51966;15,774151;61,099355
a148;12665;15,774151;61,099355
a149;48935;15,774151;61,099355
a150;25581;15,774151;61,099355
a151;31872;15,774151;61,099355
a152;26029;15,774151;61,099355
a153;27103;15,774151;61,099355
a154;8675;15,774151;61,099355
a155;43937;15,774151;61,099355
a156;50577;15,774151;61,099355
a157;41504;15,774151;61,099355
a158;13276;15,774151;61,099355
a159;24268;15,774151;61,099355
a160;7820;15,774151;61,099355
a161;43987;15,774151;61,099355
a162;16051;15,774151;61,099355
a163;52194;15,774151;61,099355
a164;19100;15,774151;61,099355
a165;12655;15,774151;61,099355
a166;12331;15,774151;61,099355
a167;50474;15,774151;61,099355
a168;52193;15,774151;61,099355
a169;18373;15,774151;61,099355
a170;15012;15,774151;61,099355
a171;30533;15,774151;61,099355
a172;7096;15,774151;61,099355
a173;36581;15,774151;61,099355
a174;44107;15,774151;61,099355
a175;38862;15,774151;61,099355
a176;10939;15,774151;61,099355
a177;32803;15,774151;61,099355
a178;29847;15,774151;61,099355
a179;5627;15,774151;61,099355
a180;38893;15,774151;61,099355
a181;52264;15,774151;61,099355
a182;37423;15,774151;61,099355
a183;18126;15,774151;61,099355
a184;13902;15,774151;61,099355
a185;47560;15,774151;61,099355
a186;20734;15,774151;61,099355
a187;39764;15,774151;61,099355
a188;13146;15,774151;61,099355
a189;33476;15,774151;61,099355
a190;25832;15,774151;61,099355
a191;19949;15,774151;61,099355
a192;23233;15,774151;61,099355
a193;14733;15,774151;61,099355
a194;42140;15,774151;61,099355
a195;41455;15,774151;61,099355
a196;39309;15,774151;61,099355
a197;40689;15,774151;61,099355
a198;41004;15,774151;61,099355
a199;29645;15,774151;61,099355
a200;45492;15,774151;61,099355
a201;50840;15,774151;61,099355
a202;46615;15,774151;61,099355
a203;52253;15,774151;61,099355
a204;45352;15,774151;61,099355
a205;36344;15,774151;61,099355
a206;53953;15,774151;61,099355
a207;19349;15,774151;61,099355
a208;31510;15,774151;61,099355
a209;5724;15,774151;61,099355
a210;42024;15,774151;61,099355
a211;50584;15,774151;61,099355
a212;42857;15,774151;61,099355
a213;7421;15,774151;61,099355
a214;28384;15,774151;61,099355
a215;10824;15,774151;61,099355
a216;6377;15,774151;61,099355
a217;27913;15,774151;61,099355
a218;22697;15,774151;61,099355
a219;25919;15,774151;61,099355
a220;48115;15,774151;61,099355
a221;51763;15,774151;61,099355
a222;12908;15,774151;61,099355
a223;27454;15,774151;61,099355
a224;34435;15,774151;61,099355
a225;39137;15,774151;61,099355
a226;7520;15,774151;61,099355
a227;39109;15,774151;61,099355
a228;20374;15,774151;61,099355
a229;47085;15,774151;61,099355
a230;11383;15,774151;61,099355
a231;7496;15,774151;61,099355
a232;36681;15,774151;61,099355
a233;43198;15,774151;61,099355
a234;30470;15,774151;61,099355
a235;47198;15,774151;61,099355
a236;40855;15,774151;61,099355
a237;34127;15,774151;61,099355
a238;33143;15,774151;61,099355
a239;13163;15,774151;61,099355
a240;40437;15,774151;61,099355
a241;6889;15,774151;61,099355
a242;41600;15,774151;61,099355
